name,street,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,tenure,built_year,no_of_units,area_size,price
seascape,57 cove way ,condominium,3.0,4.0,4,central region,southern islands,sentosa,1.2393366271489,103.83748719432,0,2011.0,151.0,2336.0,5390000.0
la maison,10 moulmein rise ,apartment,3.0,3.0,11,central region,novena,moulmein,1.31953348960235,103.847029859453,1,1999.0,24.0,1259.0,2310000.0
viva,2 suffolk walk ,condominium,4.0,3.0,11,central region,novena,moulmein,1.3156558637763798,103.84444472109502,1,2012.0,235.0,1959.0,5279500.0
urban treasures,205 jalan eunos ,condominium,3.0,2.0,14,east region,bedok,kaki bukit,1.32936720206385,103.905791323853,1,1930.0,237.0,883.0,1843600.0
infini at east coast,east coast road,apartment,3.0,3.0,15,east region,bedok,frankel,1.30917604327401,103.911351983658,1,2012.0,36.0,1066.0,2262700.0
the watergardens at canberra,canberra drive,apartment,2.0,1.0,27,north region,sembawang,sembawang springs,1.43919858389734,103.829104449216,0,1930.0,448.0,678.0,1131900.0
midwood,hillview rise,condominium,4.0,3.0,23,west region,bukit batok,hillview,1.36286208839026,103.763433915546,0,1930.0,564.0,1249.0,2189000.0
sengkang grand residences,compassvale bow,apartment,3.0,2.0,19,north-east region,sengkang,compassvale,1.3823880275650702,103.892136541911,0,2016.0,680.0,936.0,1595000.0
midtown bay,122 beach road ,apartment,1.0,1.0,7,central region,downtown core,city hall,1.2963566643980902,103.85736876917,0,2021.0,219.0,409.0,1490500.0
76 shenton,76 shenton way ,apartment,1.0,1.0,2,central region,downtown core,anson,1.27347663345182,103.845553160818,0,2014.0,202.0,592.0,1265000.0
nouvel 18,18 anderson road ,condominium,4.0,3.0,10,central region,newton,orange grove,1.31083945362027,103.828325367461,1,2014.0,156.0,1765.0,5439500.0
midtown modern,tan quee lan street,apartment,3.0,2.0,7,central region,downtown core,bugis,1.29850522262382,103.857088439281,0,1930.0,558.0,904.0,2684000.0
tampines street 11,tampines street 11,condominium,3.0,2.0,18,east region,tampines,tampines east,1.3453195492621202,103.945384662025,0,2014.0,679.0,1033.0,1705000.0
grandeur park residences,3 bedok south avenue 3 ,condominium,2.0,1.0,16,east region,bedok,bedok south,1.32582135495427,103.944919226615,0,2020.0,720.0,560.0,1031800.0
east meadows,32 tanah merah kechil road ,condominium,4.0,2.0,16,east region,bedok,bedok north,1.3292937604838502,103.94421519181,0,2002.0,482.0,1238.0,1485000.0
the line @ tanjong rhu,6 tanjong rhu road ,condominium,3.0,3.0,15,central region,kallang,tanjong rhu,1.2984373006061298,103.884408021083,1,2016.0,130.0,1216.0,2809000.0
the sail @ marina bay,marina boulevard,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.28076943504219,103.852658562152,0,2008.0,1111.0,861.0,1870000.0
marina collection,cove drive,condominium,4.0,4.0,4,central region,southern islands,sentosa,1.24297424636053,103.839164641252,0,2011.0,124.0,2519.0,5087500.0
midtown bay,beach road,apartment,3.0,3.0,7,central region,downtown core,city hall,1.2963566643980902,103.85736876917,0,2021.0,219.0,1324.0,4610300.0
eden residences capitol,11 stamford road ,apartment,4.0,4.0,6,central region,downtown core,city hall,1.29298775382221,103.851046829843,0,2016.0,39.0,5963.0,24742700.0
avenue south residence,1 silat avenue ,apartment,2.0,2.0,3,central region,bukit merah,kampong tiong bahru,1.2763901192721498,103.830271330171,0,1930.0,1074.0,689.0,1636800.0
sol acres,choa chu kang grove,executive condominium,1.0,1.0,23,west region,choa chu kang,keat hong,1.3769729039412502,103.751272385118,0,2018.0,1327.0,570.0,768900.0
van holland,holland road,condominium,3.0,3.0,10,central region,bukit timah,leedon park,1.31264956890401,103.794954717761,1,1985.0,69.0,1130.0,3480400.0
one pearl bank,pearl bank,apartment,2.0,2.0,3,central region,outram,pearl's hill,1.2829614865958898,103.839814598308,0,1930.0,774.0,570.0,2092200.0
normanton park,59 normanton park ,apartment,3.0,2.0,5,central region,queenstown,kent ridge,1.28702848318685,103.791616124392,0,1930.0,1862.0,915.0,1760000.0
